Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_233,Class_3,19.08 ,0.09 ,408.80 ,1783565.81 ,1197889.47 ,1168.37 ,18499.22 ,8737186.27 ,6977708.49 ,30315.15 ,189.11 ,15.95 ,14.36 ,282.20 ,5311.19 ,12.65 ,19.37 ,1099.97 ,16017.01 ,0.00 ,0.88 ,3563.96 ,1270.36 ,4055.44 ,503.28 ,22.13 ,17.83 ,0.06 ,0.47 ,105.55 ,11.55 ,29.54 ,1.21 ,1.03 ,0.90 
S_234,Class_3,16.46 ,0.05 ,348.04 ,1232970.31 ,755136.38 ,1449.64 ,19017.28 ,5160497.36 ,4129977.43 ,23906.46 ,187.29 ,10.89 ,24.21 ,220.77 ,6182.07 ,9.25 ,15.37 ,1000.19 ,10471.21 ,0.76 ,0.00 ,2242.22 ,809.99 ,2446.64 ,450.71 ,22.32 ,11.94 ,0.26 ,0.79 ,55.28 ,12.73 ,22.80 ,1.39 ,0.74 ,1.76 
S_235,Class_3,17.71 ,0.31 ,472.54 ,1942841.83 ,1006395.40 ,1199.43 ,18915.38 ,6898011.54 ,5483517.41 ,38591.26 ,225.71 ,5.02 ,17.68 ,217.40 ,6644.79 ,12.54 ,28.35 ,1358.91 ,14031.15 ,0.37 ,0.44 ,1472.75 ,1396.70 ,3304.91 ,857.69 ,19.19 ,18.54 ,0.48 ,0.66 ,57.55 ,17.20 ,25.20 ,1.61 ,1.24 ,1.53 
S_236,Class_3,17.79 ,0.10 ,378.70 ,1648551.63 ,961175.16 ,1041.34 ,17113.30 ,6968420.03 ,5825964.98 ,28768.37 ,211.94 ,16.56 ,14.07 ,241.21 ,4575.64 ,11.78 ,17.68 ,1001.73 ,21332.79 ,0.34 ,0.00 ,3562.82 ,932.36 ,3292.13 ,495.63 ,18.34 ,10.98 ,0.35 ,1.47 ,89.04 ,13.90 ,28.00 ,1.20 ,0.74 ,2.43 
S_237,Class_3,18.80 ,0.14 ,406.32 ,1794033.18 ,1042666.80 ,1503.75 ,18829.30 ,7254724.19 ,6063140.81 ,34149.51 ,225.26 ,20.62 ,11.47 ,277.76 ,5422.86 ,12.72 ,22.06 ,1062.86 ,16082.58 ,0.00 ,0.47 ,2842.81 ,1305.96 ,3554.76 ,624.64 ,14.81 ,16.76 ,0.28 ,2.79 ,88.35 ,21.81 ,20.92 ,1.07 ,0.98 ,3.41 
S_238,Class_3,16.41 ,0.14 ,379.37 ,2170723.36 ,1138949.51 ,1285.69 ,18264.40 ,8213875.00 ,7317394.07 ,35833.89 ,182.64 ,13.43 ,88.52 ,261.09 ,5379.32 ,11.27 ,22.83 ,1159.33 ,15418.56 ,0.00 ,0.96 ,4428.21 ,1256.82 ,3921.49 ,649.53 ,17.85 ,17.07 ,0.20 ,8.57 ,105.18 ,18.25 ,25.97 ,1.46 ,0.79 ,1.30 
S_239,Class_3,16.36 ,0.12 ,352.57 ,1788335.57 ,1084982.38 ,1124.90 ,16327.19 ,7888242.76 ,6227660.65 ,29367.24 ,195.24 ,21.39 ,26.48 ,247.14 ,5955.41 ,12.96 ,15.90 ,1199.08 ,15430.83 ,0.00 ,0.00 ,3258.84 ,1428.08 ,3761.95 ,566.79 ,11.45 ,15.41 ,0.19 ,0.62 ,92.59 ,17.43 ,17.64 ,0.86 ,1.21 ,1.48 
S_240,Class_3,17.56 ,0.04 ,412.42 ,1654088.86 ,1168031.20 ,1262.97 ,18460.51 ,7867200.00 ,6018964.71 ,29874.57 ,218.68 ,14.54 ,18.52 ,267.41 ,5927.78 ,15.02 ,18.49 ,1155.18 ,15129.16 ,0.75 ,0.44 ,3159.48 ,1381.98 ,3698.88 ,586.57 ,12.85 ,16.05 ,0.25 ,0.50 ,97.28 ,71.48 ,16.96 ,1.23 ,1.27 ,2.75 
S_241,Class_3,15.20 ,0.05 ,400.93 ,1191806.36 ,683017.12 ,1654.34 ,18816.87 ,4744920.14 ,3863893.88 ,28155.01 ,195.59 ,4.92 ,60.98 ,172.59 ,5963.70 ,11.68 ,55.76 ,1112.76 ,12155.95 ,0.37 ,0.00 ,1402.91 ,909.04 ,2242.75 ,570.85 ,10.52 ,12.41 ,0.95 ,1.51 ,49.13 ,15.23 ,16.31 ,1.44 ,0.62 ,2.04 
S_242,Class_3,16.87 ,0.25 ,437.81 ,1579507.05 ,851971.57 ,1061.52 ,18408.99 ,6043504.17 ,4779297.61 ,33389.61 ,164.76 ,4.78 ,21.21 ,226.30 ,5548.57 ,11.27 ,25.84 ,1144.68 ,12563.08 ,1.48 ,0.44 ,1223.99 ,948.43 ,2808.87 ,690.67 ,13.78 ,15.79 ,0.84 ,0.44 ,53.76 ,18.77 ,19.01 ,4.57 ,0.81 ,2.04 
S_243,Class_3,19.23 ,0.13 ,448.11 ,1956697.40 ,1147600.63 ,776.13 ,15442.17 ,7960575.75 ,6449427.79 ,33107.25 ,141.61 ,12.11 ,20.63 ,257.21 ,5268.30 ,12.44 ,19.28 ,1196.85 ,14031.29 ,0.69 ,0.00 ,2967.37 ,1379.24 ,3821.47 ,625.62 ,11.29 ,14.19 ,0.53 ,1.09 ,82.35 ,12.99 ,18.14 ,0.96 ,1.12 ,1.96 
