Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_382,Class_4,22.36 ,0.00 ,50.99 ,3132648.60 ,1333846.31 ,4238.30 ,78397.96 ,14115530.76 ,18665591.86 ,76522.74 ,465.54 ,8.16 ,30.49 ,352.31 ,12078.03 ,13.26 ,27.61 ,1718.00 ,19171.93 ,0.35 ,1.09 ,2278.93 ,2478.35 ,4634.97 ,1491.74 ,22.18 ,11.79 ,0.44 ,13.50 ,100.00 ,47.28 ,29.03 ,1.65 ,1.03 ,1.82 
S_383,Class_4,11.16 ,0.08 ,35.74 ,2709423.19 ,1215035.99 ,3403.50 ,95414.34 ,13526609.14 ,17574635.62 ,93219.18 ,409.56 ,7.34 ,65.01 ,306.94 ,12830.34 ,16.23 ,19.45 ,2118.88 ,18273.70 ,0.00 ,0.27 ,2584.00 ,2249.99 ,4309.41 ,1934.44 ,16.89 ,11.25 ,0.01 ,14.34 ,103.23 ,6.17 ,27.25 ,0.90 ,1.10 ,0.75 
S_384,Class_4,14.03 ,0.17 ,23.89 ,3352363.65 ,1292568.29 ,4476.09 ,234315.42 ,15130452.32 ,20242667.14 ,94163.95 ,768.13 ,16.08 ,22.11 ,299.22 ,14981.14 ,23.57 ,24.91 ,2013.90 ,19332.17 ,0.34 ,0.00 ,1965.98 ,2816.48 ,4748.95 ,2484.40 ,9.38 ,9.12 ,0.33 ,15.69 ,130.99 ,14.48 ,17.85 ,0.93 ,1.27 ,5.15 
S_385,Class_4,8.29 ,0.00 ,25.26 ,1900018.07 ,1201035.62 ,2923.91 ,251989.03 ,12603885.99 ,15958334.36 ,50776.80 ,273.62 ,3.96 ,32.43 ,179.76 ,7721.07 ,11.48 ,13.78 ,1271.37 ,16574.46 ,0.00 ,0.66 ,1538.40 ,1990.51 ,3792.51 ,1125.60 ,8.73 ,12.31 ,0.01 ,9.51 ,119.92 ,9.51 ,15.03 ,0.52 ,0.95 ,1.12 
S_386,Class_4,13.45 ,0.15 ,37.54 ,2463672.90 ,1409349.20 ,2504.36 ,266801.54 ,14535793.22 ,18964946.98 ,61974.93 ,272.30 ,4.93 ,60.65 ,248.91 ,10150.29 ,14.31 ,26.50 ,1464.95 ,20386.59 ,0.00 ,1.10 ,2363.16 ,1962.90 ,4542.38 ,1110.13 ,12.08 ,12.48 ,0.62 ,14.32 ,116.64 ,7.05 ,18.63 ,0.61 ,1.08 ,1.97 
S_387,Class_4,13.97 ,0.14 ,28.91 ,2526435.09 ,1462228.07 ,3163.68 ,106022.67 ,14521945.81 ,18432738.40 ,51416.67 ,837.15 ,10.89 ,10.14 ,291.62 ,12937.87 ,14.18 ,18.44 ,1715.99 ,18027.45 ,0.60 ,0.00 ,1679.43 ,2503.88 ,4315.41 ,769.65 ,27.94 ,11.16 ,0.00 ,8.72 ,104.93 ,5.48 ,38.62 ,1.09 ,1.21 ,1.62 
S_388,Class_4,6.36 ,0.00 ,32.54 ,2138471.51 ,1659013.85 ,2623.09 ,197306.36 ,17053368.32 ,21631769.08 ,41412.37 ,309.56 ,2.68 ,10.61 ,280.74 ,9646.43 ,15.17 ,23.68 ,1354.92 ,17089.39 ,0.02 ,0.30 ,1389.34 ,2204.93 ,4934.18 ,662.21 ,22.03 ,12.85 ,0.00 ,13.18 ,113.93 ,14.95 ,32.16 ,1.29 ,1.26 ,0.72 
S_389,Class_4,8.59 ,0.00 ,61.16 ,1932115.98 ,1237423.61 ,2490.71 ,169863.22 ,14198745.91 ,17472529.05 ,60349.06 ,284.84 ,4.15 ,25.74 ,259.80 ,9102.07 ,13.17 ,23.24 ,1565.51 ,14690.02 ,0.00 ,0.69 ,1372.22 ,1813.83 ,4397.79 ,1225.71 ,37.30 ,9.80 ,0.00 ,13.73 ,93.32 ,13.73 ,50.47 ,1.62 ,1.07 ,0.88 
S_390,Class_4,23.49 ,0.00 ,7.21 ,2746964.92 ,1297171.01 ,1994.40 ,235041.42 ,14294022.67 ,19065496.83 ,67791.99 ,235.83 ,6.24 ,20.20 ,328.68 ,14123.13 ,20.65 ,23.20 ,2185.16 ,19383.72 ,0.00 ,0.66 ,3280.82 ,2450.47 ,4582.90 ,1290.92 ,11.26 ,8.81 ,0.00 ,19.63 ,106.50 ,5.87 ,22.17 ,1.38 ,1.18 ,1.66 
S_391,Class_4,10.84 ,0.48 ,10.25 ,1752952.26 ,1687604.91 ,4804.60 ,41187.74 ,15710805.47 ,22129556.48 ,37649.49 ,289.60 ,11.08 ,29.19 ,269.91 ,14194.24 ,10.52 ,14.78 ,1889.61 ,17669.63 ,1.41 ,0.17 ,4126.83 ,2025.20 ,4702.84 ,333.81 ,128.26 ,17.11 ,0.66 ,2.14 ,182.67 ,13.38 ,169.77 ,5.02 ,1.87 ,2.05 
S_392,Class_4,1.55 ,0.03 ,0.00 ,1510107.53 ,1372863.24 ,2628.53 ,260750.70 ,14197305.31 ,17808045.95 ,38154.87 ,304.16 ,9.38 ,71.80 ,276.70 ,18215.65 ,14.24 ,46.64 ,2249.22 ,17754.61 ,0.00 ,1.05 ,3804.68 ,1721.92 ,3867.21 ,487.07 ,7.61 ,12.95 ,0.00 ,1.52 ,150.96 ,6.78 ,13.44 ,0.67 ,1.75 ,0.80 
S_393,Class_4,10.16 ,0.08 ,7.13 ,2810006.43 ,1361713.50 ,2785.34 ,233152.35 ,14689912.21 ,18885761.08 ,84855.59 ,489.96 ,9.64 ,53.13 ,254.11 ,12164.30 ,11.96 ,37.94 ,1535.78 ,16343.31 ,0.00 ,1.43 ,1470.71 ,2067.59 ,4298.51 ,1478.04 ,12.00 ,8.97 ,0.00 ,15.86 ,115.36 ,4.77 ,20.15 ,0.74 ,1.27 ,0.81 
S_394,Class_4,15.93 ,0.15 ,230.23 ,2713634.69 ,1421540.18 ,2521.85 ,50401.48 ,15896792.04 ,20773040.29 ,49251.35 ,255.84 ,10.65 ,143.92 ,269.99 ,10748.60 ,14.56 ,49.07 ,1655.14 ,17727.38 ,1.28 ,1.06 ,2715.13 ,2413.48 ,4818.24 ,802.59 ,296.92 ,14.32 ,0.08 ,12.48 ,125.54 ,6.08 ,230.96 ,10.66 ,1.42 ,1.08 
S_395,Class_4,13.95 ,0.08 ,14.55 ,2255731.02 ,1023845.14 ,3139.38 ,201154.94 ,11286222.39 ,14849815.30 ,61085.75 ,367.79 ,7.32 ,47.39 ,314.33 ,13718.96 ,16.85 ,26.05 ,2104.47 ,16502.48 ,0.00 ,1.43 ,1582.85 ,1909.20 ,3705.53 ,1169.87 ,12.59 ,9.56 ,0.00 ,23.24 ,88.63 ,3.84 ,24.93 ,0.86 ,1.28 ,0.42 
S_396,Class_4,4.85 ,0.00 ,0.00 ,1758487.32 ,1465590.88 ,5473.81 ,258129.02 ,14781508.70 ,18423787.59 ,37167.50 ,384.73 ,6.52 ,115.45 ,272.30 ,9179.25 ,11.22 ,13.37 ,1234.71 ,14848.81 ,0.35 ,0.30 ,1621.06 ,2027.22 ,4235.31 ,628.06 ,11.62 ,25.59 ,0.00 ,7.72 ,114.80 ,0.00 ,20.77 ,1.18 ,1.10 ,0.32 
S_397,Class_4,20.71 ,0.39 ,129.56 ,2637196.76 ,1282375.88 ,3010.69 ,93296.41 ,14623235.14 ,18793745.47 ,67029.16 ,341.99 ,9.52 ,113.40 ,284.72 ,11545.42 ,16.38 ,58.90 ,1833.73 ,20824.20 ,0.00 ,1.09 ,2222.73 ,2219.43 ,3960.33 ,1283.54 ,80.18 ,15.81 ,0.00 ,14.48 ,121.28 ,2.52 ,84.08 ,4.35 ,1.29 ,0.68 
S_398,Class_4,10.03 ,0.19 ,5.37 ,3064805.54 ,1449881.42 ,4523.97 ,224459.20 ,14794558.82 ,19311196.82 ,59696.41 ,414.65 ,10.93 ,21.93 ,232.29 ,11403.60 ,13.25 ,15.94 ,1627.12 ,17503.82 ,0.00 ,0.00 ,3692.92 ,2335.80 ,4357.20 ,1388.00 ,10.70 ,7.15 ,0.41 ,19.01 ,151.59 ,2.66 ,18.62 ,0.75 ,0.62 ,2.66 
S_399,Class_4,11.97 ,0.09 ,15.71 ,2465906.51 ,1243791.04 ,5221.16 ,89013.94 ,12642929.77 ,17101762.18 ,61145.19 ,458.32 ,4.61 ,72.63 ,212.51 ,10184.57 ,13.31 ,37.01 ,1684.77 ,15272.35 ,0.64 ,0.00 ,2993.33 ,1908.12 ,4127.39 ,925.56 ,13.88 ,14.00 ,0.06 ,14.75 ,102.78 ,1.28 ,25.72 ,1.34 ,1.50 ,0.51 
S_400,Class_4,11.20 ,0.19 ,18.62 ,2655204.14 ,1336586.26 ,3536.98 ,244040.00 ,13442065.56 ,18096747.60 ,63975.39 ,349.53 ,3.80 ,104.10 ,257.99 ,12810.08 ,14.02 ,30.23 ,2035.10 ,16415.35 ,0.01 ,0.72 ,2248.23 ,2019.24 ,4582.23 ,1104.21 ,13.97 ,13.75 ,0.52 ,17.92 ,107.23 ,8.00 ,21.09 ,0.95 ,1.36 ,0.90 
S_401,Class_4,15.26 ,0.24 ,0.00 ,3143925.33 ,1507996.52 ,7891.87 ,127749.08 ,13937306.14 ,21346649.92 ,69020.37 ,1416.36 ,24.20 ,37.52 ,394.41 ,14687.73 ,18.15 ,30.62 ,1590.33 ,18205.52 ,1.86 ,0.11 ,3536.88 ,2463.69 ,5095.28 ,1180.91 ,6.85 ,11.57 ,0.00 ,9.33 ,131.60 ,24.71 ,12.37 ,0.43 ,0.89 ,3.12 
S_402,Class_4,22.92 ,0.13 ,2.61 ,2381055.05 ,1109204.34 ,3155.24 ,122561.25 ,11216975.71 ,17688669.64 ,83042.59 ,606.67 ,10.09 ,61.49 ,316.72 ,10461.33 ,14.36 ,31.63 ,1764.66 ,18333.30 ,1.12 ,0.48 ,3499.79 ,1961.99 ,4297.27 ,1578.17 ,6.31 ,12.87 ,0.04 ,15.58 ,104.74 ,16.90 ,13.81 ,0.23 ,1.18 ,0.75 
S_403,Class_4,13.99 ,0.83 ,2.81 ,1836395.11 ,1631996.93 ,4357.49 ,42710.98 ,14923758.84 ,20311816.56 ,48897.70 ,311.59 ,6.45 ,58.00 ,275.44 ,11710.96 ,17.07 ,33.30 ,1597.60 ,16984.67 ,2.07 ,0.60 ,1709.66 ,2296.59 ,4646.79 ,828.63 ,96.26 ,15.72 ,0.75 ,9.88 ,121.48 ,16.18 ,131.43 ,5.06 ,1.15 ,2.19 
S_404,Class_4,3.66 ,0.13 ,0.00 ,1837848.85 ,1563961.45 ,2723.64 ,298862.02 ,15365356.08 ,19003464.87 ,41206.30 ,362.63 ,5.14 ,60.32 ,223.61 ,10885.54 ,14.22 ,42.14 ,1438.58 ,15636.86 ,0.03 ,0.31 ,1576.65 ,1908.93 ,4349.75 ,652.60 ,6.48 ,10.82 ,0.00 ,10.63 ,119.34 ,10.63 ,14.77 ,0.44 ,0.80 ,1.85 
S_405,Class_4,4.32 ,0.07 ,0.00 ,1726091.73 ,1489137.92 ,2435.49 ,124779.26 ,13595345.85 ,19555798.83 ,38882.69 ,337.69 ,3.86 ,23.40 ,225.24 ,7542.66 ,17.09 ,19.35 ,1233.20 ,15225.94 ,1.43 ,0.49 ,2318.70 ,2177.40 ,4618.82 ,579.48 ,5.84 ,12.80 ,0.00 ,9.08 ,128.62 ,7.54 ,14.10 ,0.22 ,1.24 ,0.13 
S_406,Class_4,15.29 ,0.24 ,0.00 ,2236037.47 ,1161615.78 ,2810.39 ,130781.72 ,11642003.92 ,18366970.36 ,109221.75 ,541.77 ,10.80 ,35.44 ,259.08 ,10300.99 ,13.49 ,28.89 ,1486.86 ,18484.23 ,0.19 ,0.11 ,3071.44 ,2160.04 ,4200.65 ,2333.25 ,4.37 ,11.25 ,0.06 ,11.33 ,120.16 ,9.87 ,12.31 ,0.26 ,1.25 ,0.17 
S_407,Class_4,17.21 ,0.20 ,0.00 ,2905968.49 ,1305700.28 ,4700.51 ,125088.81 ,12637437.66 ,19003244.53 ,187182.41 ,671.59 ,13.81 ,12.27 ,457.97 ,14482.48 ,18.76 ,37.35 ,2094.47 ,26134.20 ,1.19 ,0.12 ,1920.90 ,2339.53 ,4721.39 ,3767.98 ,5.21 ,11.74 ,0.02 ,16.74 ,132.62 ,33.83 ,11.87 ,0.22 ,2.06 ,1.88 
S_408,Class_4,22.39 ,0.45 ,0.00 ,3600693.22 ,1270934.63 ,4695.69 ,105685.20 ,12300672.66 ,18910202.02 ,115818.67 ,486.85 ,10.71 ,56.54 ,419.84 ,18230.15 ,21.38 ,34.59 ,2432.30 ,19396.46 ,0.21 ,0.11 ,3370.25 ,2849.69 ,4599.92 ,2639.91 ,12.35 ,11.82 ,0.48 ,15.08 ,123.18 ,5.25 ,22.81 ,0.52 ,1.19 ,0.01 
S_409,Class_4,16.66 ,0.42 ,0.00 ,2359315.38 ,1278283.06 ,3754.31 ,107669.59 ,12143802.10 ,18780480.01 ,86361.68 ,296.26 ,7.31 ,23.57 ,321.86 ,10756.76 ,16.60 ,40.54 ,1919.45 ,18388.66 ,0.85 ,0.00 ,2487.96 ,2269.80 ,4247.76 ,1748.62 ,11.81 ,9.12 ,0.15 ,12.62 ,121.03 ,9.47 ,21.99 ,0.78 ,0.93 ,1.84 
S_410,Class_4,13.03 ,1.00 ,14.63 ,1746295.35 ,1702920.74 ,6400.43 ,44837.57 ,16190195.91 ,22743089.17 ,46160.52 ,573.22 ,12.85 ,104.69 ,459.37 ,18903.68 ,15.46 ,68.11 ,2000.38 ,19591.39 ,0.64 ,1.51 ,1446.81 ,2610.04 ,5693.30 ,627.88 ,72.25 ,17.36 ,0.60 ,18.88 ,133.02 ,17.54 ,100.29 ,3.46 ,1.17 ,3.69 
S_411,Class_4,4.72 ,0.07 ,145.76 ,1656427.52 ,1558088.12 ,2313.54 ,250650.87 ,15367447.80 ,18589596.66 ,31312.99 ,328.18 ,95.70 ,26.18 ,249.67 ,11259.05 ,10.02 ,19.92 ,1451.75 ,16796.64 ,0.00 ,0.00 ,1144.20 ,2147.18 ,4583.99 ,392.27 ,8.33 ,10.76 ,0.00 ,14.63 ,109.61 ,3.54 ,15.06 ,0.56 ,1.12 ,9.98 
S_412,Class_4,6.89 ,0.25 ,0.00 ,1620496.39 ,1529772.13 ,5130.10 ,116357.54 ,14456719.53 ,21095255.49 ,59697.80 ,275.44 ,3.43 ,15.34 ,316.44 ,8288.44 ,13.24 ,40.30 ,1246.90 ,14532.05 ,1.28 ,0.11 ,2227.49 ,2512.44 ,4855.19 ,1274.01 ,9.57 ,8.38 ,0.20 ,14.43 ,115.74 ,16.42 ,20.08 ,0.38 ,0.61 ,2.60 
S_413,Class_4,37.74 ,0.00 ,0.00 ,3897268.32 ,1108195.87 ,4084.56 ,112282.06 ,11883842.42 ,18426655.37 ,169496.70 ,293.43 ,12.22 ,29.05 ,320.88 ,14770.34 ,21.11 ,41.08 ,2660.67 ,26602.38 ,1.16 ,0.89 ,1829.75 ,2788.64 ,4431.18 ,3766.95 ,9.54 ,10.01 ,0.38 ,16.43 ,108.16 ,19.78 ,21.15 ,0.42 ,1.05 ,2.33 
S_414,Class_4,24.89 ,0.02 ,0.00 ,3082666.40 ,1394071.37 ,4779.31 ,108248.15 ,13607491.91 ,21262278.71 ,107676.33 ,479.51 ,13.74 ,32.92 ,313.44 ,13022.64 ,13.90 ,69.56 ,1793.78 ,20534.21 ,0.49 ,1.25 ,3604.69 ,3154.43 ,4474.30 ,2143.33 ,10.27 ,12.63 ,0.39 ,14.41 ,150.87 ,25.18 ,19.85 ,0.50 ,1.48 ,3.20 
S_415,Class_4,17.06 ,0.37 ,0.00 ,3752972.82 ,1356463.43 ,3091.35 ,109079.26 ,13417480.53 ,20832118.94 ,125615.93 ,425.75 ,11.43 ,56.67 ,337.37 ,13042.77 ,16.60 ,40.98 ,2220.27 ,20883.40 ,0.20 ,0.90 ,2126.24 ,2789.06 ,5063.20 ,2521.00 ,11.47 ,12.42 ,0.71 ,33.54 ,114.86 ,19.39 ,23.27 ,0.59 ,0.95 ,0.94 
S_416,Class_4,8.20 ,0.19 ,0.00 ,2279227.86 ,1541048.36 ,4204.66 ,114561.01 ,14349441.73 ,21131845.08 ,58783.08 ,670.72 ,12.47 ,73.11 ,351.36 ,14804.18 ,19.08 ,43.92 ,1660.43 ,19612.33 ,1.64 ,0.12 ,1271.97 ,2667.54 ,5120.60 ,981.46 ,10.93 ,9.27 ,0.04 ,16.25 ,125.54 ,12.33 ,19.93 ,0.45 ,1.30 ,0.67 
S_417,Class_4,17.10 ,0.25 ,0.00 ,2701694.90 ,1375094.88 ,5619.48 ,116374.80 ,13194443.98 ,19995143.61 ,69319.29 ,1004.35 ,21.46 ,71.14 ,368.13 ,16507.23 ,14.66 ,102.82 ,1709.29 ,16447.36 ,0.22 ,0.96 ,2019.19 ,2572.34 ,4692.79 ,1214.91 ,10.85 ,13.34 ,0.14 ,12.44 ,130.17 ,14.70 ,16.80 ,0.45 ,1.26 ,0.84 
S_418,Class_4,23.14 ,0.30 ,0.00 ,3331739.69 ,1191595.74 ,3336.61 ,113830.93 ,12401967.84 ,19698903.72 ,111032.79 ,451.82 ,8.62 ,40.89 ,372.65 ,16835.84 ,18.46 ,31.33 ,2114.22 ,22278.45 ,0.00 ,0.11 ,3090.26 ,2637.37 ,4598.23 ,2316.66 ,8.38 ,14.44 ,0.98 ,20.47 ,118.36 ,7.17 ,17.77 ,0.71 ,1.12 ,0.92 
S_419,Class_4,15.22 ,0.19 ,0.00 ,3064352.41 ,1431422.15 ,4234.10 ,108686.43 ,13560457.19 ,21383551.41 ,64378.74 ,662.54 ,16.19 ,34.91 ,413.14 ,13847.24 ,21.62 ,24.96 ,2141.48 ,20249.03 ,0.19 ,0.10 ,2183.93 ,2475.93 ,5130.71 ,1040.02 ,7.67 ,9.08 ,0.08 ,18.05 ,126.33 ,5.23 ,16.96 ,0.55 ,1.54 ,1.54 
S_420,Class_4,17.88 ,0.10 ,0.00 ,2522596.77 ,1365758.16 ,3894.31 ,123592.57 ,12614173.98 ,18860133.17 ,62471.69 ,688.74 ,14.91 ,63.59 ,335.42 ,14158.04 ,16.55 ,27.70 ,1755.23 ,18019.01 ,2.34 ,0.14 ,3067.61 ,2522.75 ,4557.18 ,1114.55 ,10.12 ,11.21 ,0.86 ,13.51 ,130.62 ,5.06 ,19.49 ,0.56 ,1.39 ,0.39 
S_421,Class_4,22.61 ,0.23 ,0.00 ,3149314.95 ,1296321.49 ,4216.76 ,115619.82 ,13506683.76 ,20876268.87 ,62832.23 ,523.35 ,19.30 ,222.13 ,431.61 ,18765.70 ,17.49 ,38.29 ,2033.10 ,22709.76 ,0.51 ,0.11 ,2530.88 ,2619.63 ,5003.39 ,1444.07 ,6.80 ,22.76 ,0.33 ,17.49 ,136.08 ,10.13 ,15.68 ,0.53 ,1.87 ,2.05 
S_422,Class_4,11.00 ,0.66 ,0.00 ,1644594.13 ,1672662.98 ,5917.25 ,52740.22 ,15795050.53 ,24199220.17 ,42966.38 ,572.94 ,8.87 ,76.72 ,306.54 ,13905.62 ,13.57 ,56.02 ,1732.09 ,18113.39 ,1.03 ,0.62 ,4987.19 ,2484.59 ,6263.44 ,471.15 ,68.60 ,14.52 ,0.36 ,14.44 ,143.21 ,18.69 ,95.61 ,4.82 ,1.22 ,2.98 
S_423,Class_4,7.82 ,0.47 ,101.97 ,1801835.82 ,1629509.34 ,2720.37 ,87254.27 ,15933048.81 ,20711656.32 ,46299.19 ,290.97 ,9.69 ,31.43 ,337.38 ,20219.93 ,17.80 ,28.61 ,1932.96 ,21213.34 ,0.61 ,0.00 ,4371.33 ,2685.31 ,5700.35 ,668.50 ,80.58 ,11.28 ,0.00 ,29.35 ,138.86 ,17.08 ,85.07 ,3.03 ,1.61 ,2.51 
S_424,Class_4,24.48 ,0.23 ,0.00 ,3064753.46 ,1307970.59 ,3354.16 ,119381.28 ,12337015.98 ,19386156.98 ,65893.80 ,387.36 ,6.86 ,17.04 ,333.12 ,12434.14 ,17.03 ,21.30 ,2147.12 ,20827.82 ,0.19 ,0.00 ,1840.22 ,2350.56 ,4596.12 ,1321.67 ,8.35 ,11.34 ,0.06 ,14.48 ,101.42 ,18.37 ,16.62 ,0.41 ,0.92 ,0.73 
S_425,Class_4,21.60 ,0.41 ,0.00 ,3975926.05 ,1156399.16 ,4526.02 ,118367.75 ,11915126.75 ,19058202.59 ,161768.42 ,480.53 ,11.42 ,49.96 ,315.81 ,12847.74 ,18.67 ,34.58 ,2274.44 ,20985.99 ,1.88 ,0.12 ,3201.42 ,2724.11 ,4626.55 ,3217.31 ,5.73 ,11.46 ,0.18 ,20.83 ,127.80 ,12.84 ,13.36 ,0.87 ,0.91 ,0.51 
